latitude,longitude,days_between,Total_Alien_Books,Total_Meteorites
79951.0,79951.0,79951.0,78887.0,77726.0
38.12724309062711,-86.82999433954949,1171.9808257557754,34.321320369642656,877.2011038777243
10.437134504226654,39.592189090160126,3266.472525124533,32.2519127803595,613.5411871776827
-82.862752,-176.6580556,0.0,1.0,9.0
34.1336111,-112.0733333,8.0,13.0,329.0
39.4077778,-87.9063889,26.0,20.0,936.0
42.7875,-78.7813889,122.0,63.0,1496.0
72.7,178.4419,35105.0,105.0,3046.0
